PhraseId	SentenceId	Phrase	Sentiment
1	1	A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	1.0
2	1	A series of escapades demonstrating the adage that what is good for the goose	2.0
6	1	of escapades demonstrating the adage that what is good for the goose	2.0
8	1	escapades demonstrating the adage that what is good for the goose	2.0
28	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	2.0
29	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2.0
32	1	good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2.0
33	1	for the gander , some of which occasionally amuses but none of which amounts to much of a story	2.0
34	1	the gander , some of which occasionally amusesthbatch_size but none of wthbatch_sizehich amounts to much of a story	1.0
39	1	some of which occasionally amuses but none of which amounts to much of a story	2.0
44	1	occasionally amuses but none of which amounts to much of a story	2.0
46	1	amuses but none of which amounts to much of a story	2.0
64	2	This quiet , introspective and entertaining independent is worth seeking .	4.0
82	3	Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .	1.0
95	3	, I suspect , would have a hard time sitting through this one .	1.0
117	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .	3.0
118	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera	4.0
119	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder	4.0
126	4	of ethnography and all the intrigue , betrayal , deceit and murder	2.0
127	4	ethnography and all the intrigue , betrayal , deceit and murder	2.0
167	6	A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .	4.0
177	6	rooted in a sincere performance by the title character undergoing midlife crisis .	4.0
178	6	rooted in a sincere performance by the title character undergoing midlife crisis	3.0
214	8	The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	3.0
217	8	of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	2.0
218	8	Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	3.0
220	8	Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	2.0
223	8	so thick with wit it plays like a reading from Bartlett 's Familiar Quotations	2.0
225	8	thick with wit it plays like a reading from Bartlett 's Familiar Quotations	3.0
227	8	with wit it plays like a reading from Bartlett 's Familiar Quotations	3.0
229	8	wit it plays like a reading from Bartlett 's Familiar Quotations	2.0
272	11	There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .	1.0
274	11	's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .	1.0
275	11	's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity	1.0
286	11	unless one considers cliched dialogue and perverse escapism a source of high hilarity	1.0
288	11	one considers cliched dialogue and perverse escapism a source of high hilarity	2.0
289	11	considers cliched dialogue and perverse escapism a source of high hilarity	2.0
307	12	Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .	1.0
311	12	is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .	2.0
312	12	is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that	0.0
313	12	is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and	2.0
314	12	is Oedekerk 's realization of his childhood dream to be in a martial-arts flick ,	2.0
315	12	is Oedekerk 's realization of his childhood dream to be in a martial-arts flick	2.0
316	12	Oedekerk 's realization of his childhood dream to be in a martial-arts flick	2.0
336	12	proves that sometimes the dreams of youth should remain just that	1.0
364	14	Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .	3.0
366	14	has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .	3.0
367	14	has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense	3.0
369	14	something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense	3.0
371	14	serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense	2.0
373	14	to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense	3.0
374	14	say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense	2.0
376	14	about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense	2.0
378	14	the ways in which extravagant chance can distort our perspective and throw us off the path of good sense	1.0
381	14	in which extravagant chance can distort our perspective and throw us off the path of good sense	2.0
383	14	extravagant chance can distort our perspective and throw us off the path of good sense	2.0
387	14	can distort our perspective and throw us off the path of good sense	2.0
389	14	distort our perspective and throw us off the path of good sense	2.0
408	15	I still like Moonlight Mile , better judgment be damned .	3.0
424	16	A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .	3.0
425	16	A welcome relief from baseball movies that try too hard to be mythic	3.0
444	16	, this one is a sweet and modest and ultimately winning story .	3.0
445	16	this one is a sweet and modest and ultimately winning story .	4.0
459	17	a bilingual charmer , just like the woman who inspired it	3.0
474	18	Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .	2.0
487	18	Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .	2.0
489	18	's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .	2.0
490	18	's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting	2.0
491	18	's In the Mood for Love -- very much a Hong Kong movie	2.0
492	18	In the Mood for Love -- very much a Hong Kong movie	3.0
493	18	the Mood for Love -- very much a Hong Kong movie	2.0
517	19	As inept as big-screen remakes of The Avengers and The Wild Wild West .	1.0
518	19	As inept as big-screen remakes of The Avengers and The Wild Wild West	2.0
522	19	as big-screen remakes of The Avengers and The Wild Wild West	1.0
537	20	It 's everything you 'd expect -- but nothing more .	2.0
564	22	Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications .	3.0
565	22	Hatfield and Hicks make the oddest of couples , and in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications	3.0
580	22	in this sense the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications	3.0
583	22	the movie becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications	2.0
585	22	becomes a study of the gambles of the publishing world , offering a case study that exists apart from all the movie 's political ramifications	2.0
586	22	becomes a study of the gambles of the publishing world ,	2.0
601	22	offering a case study that exists apart from all the movie 's political ramifications	2.0
603	22	a case study that exists apart from all the movie 's political ramifications	3.0
620	23	It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .	1.0
621	23	's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .	1.0
622	23	's like going to a house party and watching the host defend himself against a frothing ex-girlfriend	1.0
623	23	like going to a house party and watching the host defend himself against a frothing ex-girlfriend	1.0
624	23	going to a house party and watching the host defend himself against a frothing ex-girlfriend	1.0
648	24	That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .	2.0
662	24	occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .	2.0
663	24	occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is	3.0
665	24	about 7 times during Windtalkers is a good indication of how serious-minded the film is	2.0
687	25	The plot is romantic comedy boilerplate from start to finish .	2.0
703	26	It arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .	2.0
704	26	arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .	2.0
705	26	arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications	2.0
707	26	with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications	2.0
708	26	an impeccable pedigree , mongrel pep , and almost indecipherable plot complications	1.0
726	27	A film that clearly means to preach exclusively to the converted .	2.0
742	28	While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .	1.0
743	28	While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles	3.0
745	28	The Importance of Being Earnest offers opportunities for occasional smiles and chuckles	3.0
760	28	, it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .	2.0
761	28	it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .	2.0
762	28	does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .	2.0
763	28	does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances	1.0
764	28	give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances	1.0
767	28	a reason to be in the theater beyond Wilde 's wit and the actors ' performances	2.0
768	28	reason to be in the theater beyond Wilde 's wit and the actors ' performances	2.0
769	28	to be in the theater beyond Wilde 's wit and the actors ' performances	2.0
770	28	be in the theater beyond Wilde 's wit and the actors ' performances	2.0
787	29	The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .	1.0
790	29	vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .	2.0
791	29	vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen	1.0
811	30	More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet .	2.0
812	30	More vaudeville show than well-constructed narrative , but on those terms it 's inoffensive and actually rather sweet	3.0
849	32	Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .	0.0
850	32	Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire	1.0
851	32	Hampered -- no , paralyzed -- by a self-indulgent script ...	1.0
882	33	Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .	2.0
883	33	Ice Age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on	2.0
884	33	Ice Age is the first computer-generated feature cartoon to feel like other movies , and	3.0
885	33	Ice Age is the first computer-generated feature cartoon to feel like other movies ,	2.0
886	33	Ice Age is the first computer-generated feature cartoon to feel like other movies	3.0
890	33	is the first computer-generated feature cartoon to feel like other movies	3.0
917	34	There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .	2.0
918	34	There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash	1.0
919	34	There 's very little sense to what 's going on here , but	1.0
920	34	There 's very little sense to what 's going on here ,	0.0
921	34	There 's very little sense to what 's going on here	1.0
945	35	Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .	2.0
947	35	should have followed the runaway success of his first film , The Full Monty , with something different .	2.0
948	35	should have followed the runaway success of his first film , The Full Monty , with something different	2.0
949	35	have followed the runaway success of his first film , The Full Monty , with something different	2.0
950	35	followed the runaway success of his first film , The Full Monty , with something different	2.0
951	35	followed the runaway success of his first film , The Full Monty ,	3.0
953	35	the runaway success of his first film , The Full Monty ,	4.0
971	36	They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .	1.0
973	36	're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .	1.0
974	36	're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid	2.0
976	36	the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid	1.0
986	36	that serve as whatever terror the heroes of horror movies try to avoid	2.0
987	36	serve as whatever terror the heroes of horror movies try to avoid	2.0
988	36	as whatever terror the heroes of horror movies try to avoid	2.0
1003	37	It almost feels as if the movie is more interested in entertaining itself than in amusing us .	1.0
1004	37	almost feels as if the movie is more interested in entertaining itself than in amusing us .	0.0
1005	37	feels as if the movie is more interested in entertaining itself than in amusing us .	1.0
1006	37	feels as if the movie is more interested in entertaining itself than in amusing us	1.0
1008	37	as if the movie is more interested in entertaining itself than in amusing us	1.0
1009	37	if the movie is more interested in entertaining itself than in amusing us	1.0
1011	37	the movie is more interested in entertaining itself than in amusing us	1.0
1024	38	The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . '	0.0
1033	38	gives new meaning to the phrase ` fatal script error . '	0.0
1034	38	gives new meaning to the phrase ` fatal script error .	2.0
1051	39	Do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going .	3.0
1052	39	Do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going	2.0
1063	39	it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going	2.0
1073	39	it takes off in totally unexpected directions and keeps on going	3.0
1100	41	Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .	0.0
1101	41	Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality	1.0
1102	41	Tartakovsky 's team has some freakish powers of visual charm , but	3.0
1103	41	Tartakovsky 's team has some freakish powers of visual charm ,	3.0
1119	41	the five writers slip into the modern rut of narrative banality	2.0
1135	42	Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .	3.0
1139	42	is right at home in this French shocker playing his usual bad boy weirdo role .	3.0
1140	42	is right at home in this French shocker playing his usual bad boy weirdo role	3.0
1165	43	If a horror movie 's primary goal is to frighten and disturb , then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .	4.0
1166	43	If a horror movie 's primary goal is to frighten and disturb	2.0
1167	43	a horror movie 's primary goal is to frighten and disturb	2.0
1180	43	, then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .	4.0
1181	43	then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .	4.0
1183	43	They works spectacularly well ... A shiver-inducing , nerve-rattling ride .	4.0
1199	44	This 100-minute movie only has about 25 minutes of decent material .	1.0
1225	46	Less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB- .	3.0
1226	46	the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB- .	3.0
1227	46	the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling -LRB- though no less horrifying for it -RRB-	4.0
1228	46	the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling	3.0
1258	47	As tricky and satisfying as any of David Mamet 's airless cinematic shell games .	3.0
1281	48	I 'm sure the filmmaker would disagree , but , honestly , I do n't see the point .	1.0
1282	48	'm sure the filmmaker would disagree , but , honestly , I do n't see the point .	1.0
1283	48	'm sure the filmmaker would disagree , but , honestly , I do n't see the point	0.0
1285	48	sure the filmmaker would disagree , but , honestly , I do n't see the point	1.0
1287	48	the filmmaker would disagree , but , honestly , I do n't see the point	1.0
1305	49	Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .	4.0
1307	49	has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .	4.0
1308	49	has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers	3.0
1309	49	tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers	4.0
1333	50	Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .	4.0
1337	50	has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .	4.0
1338	50	has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made	4.0
1339	50	the grace to call for prevention rather than to place blame , making it one of the best war movies ever made	4.0
1340	50	grace to call for prevention rather than to place blame , making it one of the best war movies ever made	4.0
1342	50	to call for prevention rather than to place blame , making it one of the best war movies ever made	4.0
1343	50	call for prevention rather than to place blame , making it one of the best war movies ever made	4.0
1369	51	Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker .	1.0
1370	51	Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker	1.0
1371	51	a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker	1.0
1378	51	to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker	2.0
1379	51	detailing a chapter in the life of the celebrated Irish playwright , poet and drinker	2.0
1384	51	in the life of the celebrated Irish playwright , poet and drinker	2.0
1385	51	the life of the celebrated Irish playwright , poet and drinker	2.0
1401	52	Finally coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .	2.0
1403	52	coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .	1.0
1404	52	coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie	1.0
1405	52	coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes	1.0
1406	52	coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno	1.0
1407	52	coming down off of Miramax 's deep shelves after a couple of aborted attempts ,	1.0
1408	52	coming down off of Miramax 's deep shelves after a couple of aborted attempts	2.0
1446	53	Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .	0.0
1447	53	Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film	1.0
1448	53	Thanks largely to Williams , all the interesting developments are processed in 60 minutes --	2.0
1449	53	Thanks largely to Williams , all the interesting developments are processed in 60 minutes	3.0
1480	54	Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .	0.0
1481	54	Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible	1.0
1485	54	as a relic from a bygone era , and its convolutions ... feel silly rather than plausible	0.0
1486	54	a relic from a bygone era , and its convolutions ... feel silly rather than plausible	1.0
1487	54	a relic from a bygone era , and its convolutions ... feel	2.0
1488	54	relic from a bygone era , and its convolutions ... feel	2.0
1506	55	Perhaps it 's cliche to call the film ` refreshing , ' but it is .	4.0
1507	55	Perhaps it 's cliche to call the film ` refreshing , ' but it is	4.0
1508	55	Perhaps it 's cliche to call the film ` refreshing , ' but	3.0
1509	55	Perhaps it 's cliche to call the film ` refreshing , '	3.0
1510	55	Perhaps it 's cliche to call the film ` refreshing ,	2.0
1539	58	Mark Pellington 's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth .	3.0
1549	58	is as kooky and overeager as it is spooky and subtly in love with myth .	2.0
1550	58	is as kooky and overeager as it is spooky and subtly in love with myth	2.0
1551	58	as kooky and overeager as it is spooky and subtly in love with myth	3.0
1552	58	kooky and overeager as it is spooky and subtly in love with myth	3.0
1569	59	Claude Chabrol 's camera has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .	3.0
1576	59	has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .	3.0
1577	59	has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements	3.0
1578	59	a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements	3.0
1581	59	of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements	3.0
1582	59	gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements	3.0
1584	59	swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements	3.0
1591	59	as it cradles its characters , veiling tension beneath otherwise tender movements	2.0
1592	59	it cradles its characters , veiling tension beneath otherwise tender movements	2.0
